2600,533664.3835616438
3000,587979.4520547945
3200,615136.9863013698
3600,669452.0547945206
4000,723767.1232876712
900,302825.3424657534
1000,316404.1095890411
1100,329982.87671232875
2000,452191.7808219178
300,221352.73972602733
500,248510.27397260268
2600,533664.3835616438
3000,587979.4520547945
3200,615136.9863013698
3600,669452.0547945206
4000,723767.1232876712
900,302825.3424657534
1000,316404.1095890411
1100,329982.87671232875
2000,452191.7808219178
300,221352.73972602733
500,248510.27397260268
2600,533664.3835616438
3000,587979.4520547945
3200,615136.9863013698
3600,669452.0547945206
4000,723767.1232876712
900,302825.3424657534
1000,316404.1095890411
1100,329982.87671232875
2000,452191.7808219178
300,221352.73972602733
500,248510.27397260268
